                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9723,                 6.3456,                 4.7606,                 4.1763,                0.00064,                0.05757,                0.00043,                0.00015,                      0,                      0,                      0,                      0,                 3.8422,                 5.1208,                 4.2576,                 4.1071,             0.00041096,             0.00041096,             0.00041096
                      2,                 3.5803,                 5.0674,                 4.4545,                 3.8113,                 0.0015,                0.12152,                0.00131,                0.00036,                  6e-05,                 0.0082,                  3e-05,                  1e-05,                 3.4258,                 5.0782,                  4.089,                 3.7524,             0.00081943,             0.00081943,             0.00081943
                      3,                 3.3758,                 4.9886,                 4.3783,                 3.4796,                0.00064,                0.05785,                0.00044,                0.00015,                  7e-05,                0.00641,                  4e-05,                  1e-05,                 3.2732,                 4.9002,                 3.9781,                 3.2848,              0.0012197,              0.0012197,              0.0012197
                      4,                 3.1734,                 4.8994,                 4.2255,                 3.1912,                0.00139,                0.07072,                0.00086,                0.00025,                0.00049,                0.01426,                0.00028,                  4e-05,                 3.2275,                 4.8988,                  3.861,                 3.2227,              0.0012129,              0.0012129,              0.0012129
                      5,                 3.0989,                 4.8412,                 4.1825,                 3.0269,                0.00131,                0.11577,                0.00108,                0.00033,                0.00011,                0.01185,                  6e-05,                  1e-05,                 3.1211,                 4.7802,                 3.8498,                 2.9974,              0.0012005,              0.0012005,              0.0012005
                      6,                 3.0246,                 4.7975,                 4.1298,                 2.9613,                0.00284,                0.16096,                0.00214,                0.00048,                0.00033,                0.03411,                0.00022,                  5e-05,                 3.0412,                 4.8394,                 4.0662,                 3.2149,              0.0011881,              0.0011881,              0.0011881
                      7,                 2.9952,                 4.7371,                 4.1003,                 2.9102,                0.00229,                0.12778,                0.00214,                0.00056,                0.00027,                0.02052,                0.00015,                  3e-05,                 2.9873,                 4.5836,                 3.7054,                 2.8882,              0.0011757,              0.0011757,              0.0011757
                      8,                 2.9698,                 4.6851,                 3.9656,                  2.821,                0.00266,                0.19966,                0.01026,                0.00306,                0.00045,                0.03672,                0.00058,                0.00017,                 2.8873,                 4.5303,                 3.8412,                 2.8262,              0.0011634,              0.0011634,              0.0011634
                      9,                 2.8984,                 4.6933,                 3.9382,                 2.8127,                0.00343,                0.19364,                 0.0054,                0.00148,                0.00053,                0.04254,                0.00081,                0.00018,                 2.9148,                 4.5073,                 3.7207,                 2.8582,               0.001151,               0.001151,               0.001151
                     10,                 2.8759,                 4.6208,                 3.9581,                 2.7522,                0.00268,                0.20644,                0.00298,                0.00092,                 0.0006,                0.04021,                0.00048,                  9e-05,                 2.9259,                 4.4684,                 3.8236,                 2.8832,              0.0011386,              0.0011386,              0.0011386
                     11,                 2.8357,                 4.6162,                 3.8924,                 2.7109,                0.00406,                0.26766,                 0.0061,                0.00204,                0.00076,                 0.0899,                0.00172,                0.00059,                 2.8289,                 4.3467,                 3.6767,                 2.7925,              0.0011263,              0.0011263,              0.0011263
                     12,                 2.8265,                 4.5323,                 3.8163,                 2.6802,                  0.006,                 0.2684,                 0.0115,                0.00231,                0.00062,                0.06269,                0.00048,                  9e-05,                 2.8096,                 4.4161,                  3.738,                 2.8033,              0.0011139,              0.0011139,              0.0011139
                     13,                 2.7589,                 4.4812,                 3.7854,                  2.652,                0.00375,                 0.2938,                0.00548,                0.00165,                0.25463,                0.00826,                0.00203,                0.00049,                 2.8379,                 4.3116,                 3.6627,                 2.7795,              0.0011015,              0.0011015,              0.0011015
                     14,                 2.7293,                 4.4507,                 3.7048,                 2.6249,                0.00431,                0.26407,                0.00458,                0.00143,                0.00158,                0.11411,                0.00161,                0.00031,                 2.7645,                 4.3511,                 3.7449,                 2.7449,              0.0010891,              0.0010891,              0.0010891
                     15,                 2.7155,                 4.4374,                 3.6804,                  2.606,                0.26179,                0.02348,                0.00659,                0.00229,                0.76433,                0.00606,                0.00288,                0.00087,                 2.7746,                 4.2893,                 3.6811,                 2.7766,              0.0010768,              0.0010768,              0.0010768
